songName,artistName,songID,artistID,year,genres,audio
Highway Star - Remastered 2012,Deep Purple,3uMmllZo1AfoEnVT4ENCD3,568ZhdwyaiCyOGJRtNYhWf,70,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']","[{'danceability': 0.307, 'energy': 0.909, 'key': 9, 'loudness': -7.08, 'speechiness': 0.0574, 'acousticness': 0.135, 'instrumentalness': 0.0336, 'liveness': 0.125, 'valence': 0.443, 'tempo': 173.674}]"
Sir Duke,Stevie Wonder,4pNiE4LCVV74vfIBaUHm1b,7guDJrEfX3qb6FEbdPA5qi,70,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']","[{'danceability': 0.588, 'energy': 0.568, 'key': 6, 'loudness': -9.766, 'speechiness': 0.0672, 'acousticness': 0.16, 'instrumentalness': 0, 'liveness': 0.0792, 'valence': 0.952, 'tempo': 106.938}]"
I Put A Spell On You,Creedence Clearwater Revival,1XMP99GU4f6UemfWiNoXHE,3IYUhFvPQItj6xySrBmZkd,60,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']","[{'danceability': 0.391, 'energy': 0.732, 'key': 4, 'loudness': -8.188, 'speechiness': 0.0295, 'acousticness': 0.00471, 'instrumentalness': 0.121, 'liveness': 0.0979, 'valence': 0.622, 'tempo': 100.354}]"
The Entertainer,Ramin Djawadi,6oZTFtIE9Wk3xhic0pBDNM,1hCkSJcXREhrodeIHQdav8,10,"['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']","[{'danceability': 0.568, 'energy': 0.206, 'key': 0, 'loudness': -11.961, 'speechiness': 0.0351, 'acousticness': 0.899, 'instrumentalness': 0.844, 'liveness': 0.218, 'valence': 0.932, 'tempo': 142.935}]"
Back to Black,Ramin Djawadi,6hlO0R58GEYtO4BO8y2A4K,1hCkSJcXREhrodeIHQdav8,10,"['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']","[{'danceability': 0.795, 'energy': 0.183, 'key': 2, 'loudness': -15.178, 'speechiness': 0.0434, 'acousticness': 0.983, 'instrumentalness': 0.908, 'liveness': 0.137, 'valence': 0.143, 'tempo': 123.004}]"
Paint it Black,Ramin Djawadi,5D8o9tGf3Dfjz7CgMxcoeI,1hCkSJcXREhrodeIHQdav8,10,"['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']","[{'danceability': 0.323, 'energy': 0.331, 'key': 9, 'loudness': -11.326, 'speechiness': 0.0383, 'acousticness': 0.631, 'instrumentalness': 0.886, 'liveness': 0.0912, 'valence': 0.0947, 'tempo': 73.894}]"
Island Song (Come Along with Me) [feat. Ashley Eriksson],Adventure Time,2h7c8sfEWiKhDCWlt2KekF,3Op7D6tFVJCOHW6EAV0ck1,10,[],"[{'danceability': 0.732, 'energy': 0.467, 'key': 9, 'loudness': -12.628, 'speechiness': 0.036, 'acousticness': 0.793, 'instrumentalness': 0, 'liveness': 0.247, 'valence': 0.845, 'tempo': 119.988}]"
Stronger Than You (feat. Estelle),Steven Universe,4qmT806nB5E33pZSYYqWcU,4rF7c8zpCKzuSXohs2HIpA,10,[],"[{'danceability': 0.713, 'energy': 0.546, 'key': 8, 'loudness': -7.173, 'speechiness': 0.0565, 'acousticness': 0.123, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.458, 'tempo': 97.854}]"
Adventure Time (Theme Song) - [VGR Holiday Remix],Adventure Time,4zDMrfdStjpXWmLO180Bxt,3Op7D6tFVJCOHW6EAV0ck1,20,[],"[{'danceability': 0.534, 'energy': 0.705, 'key': 7, 'loudness': -8.841, 'speechiness': 0.239, 'acousticness': 0.334, 'instrumentalness': 0.00157, 'liveness': 0.195, 'valence': 0.643, 'tempo': 102.036}]"
Are You Man Enough?,Four Tops,6DdWSQJNCQuQjXJQBHXTz0,7fIvjotigTGWqjIz6EP1i4,70,"['brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']","[{'danceability': 0.643, 'energy': 0.859, 'key': 5, 'loudness': -5.276, 'speechiness': 0.0378, 'acousticness': 0.551, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.967, 'tempo': 121.401}]"
Roda,Sergio Mendes & Brasil '66,5f0GKx4D82I93UcRAG38Ju,6hCsqVHnBo1BVQWuIjRMkL,60,[],"[{'danceability': 0.735, 'energy': 0.44, 'key': 10, 'loudness': -14.685, 'speechiness': 0.11, 'acousticness': 0.529, 'instrumentalness': 0, 'liveness': 0.191, 'valence': 0.917, 'tempo': 108.688}]"
Mr. Roboto,Styx,7C0rG4oWO7VeZcffyW1sK9,4salDzkGmfycRqNUbyBphh,80,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']","[{'danceability': 0.663, 'energy': 0.482, 'key': 1, 'loudness': -12.093, 'speechiness': 0.0479, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.0521, 'valence': 0.314, 'tempo': 144.13}]"
March of the Toreadors,101 Strings Orchestra,3NGXJxA7rNcdGCe7S7E3ot,1sLpCr5xThZkGHLw4H0mNE,10,"['easy listening', 'lounge']","[{'danceability': 0.492, 'energy': 0.455, 'key': 2, 'loudness': -13.712, 'speechiness': 0.0393, 'acousticness': 0.846, 'instrumentalness': 0.945, 'liveness': 0.321, 'valence': 0.698, 'tempo': 120.392}]"
Forearm Shiver,Sam Spence,1wnr4iVHM8mRNtYEzf3WDV,18n57lp9vXwU17jg4Vb1sM,70,['library music'],"[{'danceability': 0.5, 'energy': 0.714, 'key': 2, 'loudness': -7.788, 'speechiness': 0.0302, 'acousticness': 0.522, 'instrumentalness': 0.929, 'liveness': 0.115, 'valence': 0.836, 'tempo': 172.89}]"
Barbarella,The Bob Crewe Generation Orchestra,0o0RzGlv7QJVieM0GGUYsS,7nNqmIVNxSboqqf9Wvv6Sr,10,[],"[{'danceability': 0.327, 'energy': 0.548, 'key': 8, 'loudness': -10.433, 'speechiness': 0.0663, 'acousticness': 0.441, 'instrumentalness': 0.00105, 'liveness': 0.693, 'valence': 0.687, 'tempo': 76.247}]"
モンキー・マジック,Godiego,3pVjpCmLz96YYh33YBKMdG,7agr01GMFpbX5ie9UsTGxe,70,['classic j-rock'],"[{'danceability': 0.613, 'energy': 0.859, 'key': 11, 'loudness': -6.855, 'speechiness': 0.0515, 'acousticness': 0.0255, 'instrumentalness': 0.000153, 'liveness': 0.327, 'valence': 0.914, 'tempo': 115.532}]"
Goodnight Vienna,Ringo Starr,30j0oL1JjggxZmzMffNUSN,6DbJi8AcN5ANdtvJcwBSw8,70,"['album rock', 'beatlesque', 'blues rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'rock drums', 'soft rock']","[{'danceability': 0.688, 'energy': 0.659, 'key': 7, 'loudness': -13.251, 'speechiness': 0.0295, 'acousticness': 0.00982, 'instrumentalness': 0.00328, 'liveness': 0.212, 'valence': 0.901, 'tempo': 115.365}]"
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,0GQ5bFTVFFKpwNPc7KwQnB,7dGJo4pcD2V6oG8kP0tJRR,20,"['detroit hip hop', 'hip hop', 'rap']","[{'danceability': 0.68, 'energy': 0.82, 'key': 4, 'loudness': -4.197, 'speechiness': 0.151, 'acousticness': 0.0614, 'instrumentalness': 0, 'liveness': 0.597, 'valence': 0.243, 'tempo': 140.033}]"
r - Cali,A$AP Rocky,2oMOqX9k4k16odibNkYyrD,13ubrt8QOOCPljQ2FL1Kca,10,"['east coast hip hop', 'hip hop', 'rap']","[{'danceability': 0.714, 'energy': 0.765, 'key': 4, 'loudness': -6.215, 'speechiness': 0.354, 'acousticness': 0.0105, 'instrumentalness': 0, 'liveness': 0.566, 'valence': 0.52, 'tempo': 74.986}]"
Check Yo Self - Remix,Ice Cube,3NGT0Td7H4Is1qrlDQJxma,3Mcii5XWf6E0lrY3Uky4cA,90,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']","[{'danceability': 0.934, 'energy': 0.735, 'key': 1, 'loudness': -6.668, 'speechiness': 0.251, 'acousticness': 0.031, 'instrumentalness': 8.6e-06, 'liveness': 0.107, 'valence': 0.768, 'tempo': 101.368}]"
Main Title Theme - Westworld,Ramin Djawadi,2sw8teIvVMRZKKYD5p795f,1hCkSJcXREhrodeIHQdav8,10,"['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']","[{'danceability': 0.464, 'energy': 0.361, 'key': 5, 'loudness': -11.171, 'speechiness': 0.0291, 'acousticness': 0.636, 'instrumentalness': 0.952, 'liveness': 0.11, 'valence': 0.063, 'tempo': 111.168}]"
Go Champ Go,The Champs,4RFXxfEbWBPl0W9EDJrJ7s,3yt4IVDHz0luREG9Uf9xrp,50,"['rock-and-roll', 'rockabilly']","[{'danceability': 0.485, 'energy': 0.501, 'key': 10, 'loudness': -18.92, 'speechiness': 0.033, 'acousticness': 0.718, 'instrumentalness': 0.831, 'liveness': 0.231, 'valence': 0.943, 'tempo': 175.906}]"
Zorba the Greek: Zorba's Dance,Mikis Theodorakis,30Lj5KKGd8IUEK0s5N3ccN,58EvYFzDGAQOmBpIOxujnj,10,"['bouzouki', 'classic greek pop', 'entehno', 'greek contemporary classical', 'greek guitar']","[{'danceability': 0.564, 'energy': 0.385, 'key': 7, 'loudness': -14.396, 'speechiness': 0.0627, 'acousticness': 0.286, 'instrumentalness': 0.905, 'liveness': 0.0503, 'valence': 0.418, 'tempo': 81.548}]"
