name,id,numSongs
C418,4uFZsG1vXrPcvnZ4iSQyrx,3
FlyxTheKid,5xKVOc3OIhyBDsw2rYpN3R,1
The Kinks,1SQRv42e4PjEYfPhS0Tk9E,20
Anya Taylor-Joy,5RAMfpOCoBthlipim1IaUa,1
Cilla Black,3bCvHtuIXWXPbCMdSYudmZ,1
The Walker Brothers,49WlsIvcUYj7Awo93hDKgf,1
Sandie Shaw,5uxkcHbgyNbyzq1nyChvCa,1
The Graham Bond Organisation,2YHcSCb5tMbCoovS962pff,1
The Searchers,4QmkLL9JOqM9dusHS1Hghe,1
Dusty Springfield,5zaXYwewAXedKNCff45U5l,4
Peter And Gordon,6lHC2EQMEMZiEmSfFloarn,1
Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,1
Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,1
Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,2
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,3
Josh Radnor,6FyIfzq9HY3BhLmrbdwePe,2
Cobie Smulders,6BHT3tdTesGiMR817YFQNE,1
How I Met Your Mother Cast,1jUh2QomRNxuh5DEUW51Wp,1
Robin Sparkles,40GCiwUFiowJqS6MHrwPWF,1
Ciro y los Persas,2Eo4Yaukt9d6dnZrY5hQKi,8
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,1
John Powell,3EAHF3jdnHHdko5DBrhRUP,2
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,7
Bizarrap,716NhGYqD1jl2wI1Qkgq36,4
Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,2
The Buggles,057gc1fxmJ2vkctjQJ7Tal,1
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,1
John Murphy,4UGoqrmNHDJ166XD6DtZni,2
Gael Garcia Bernal,09oR0uKhqwScsKa2eUK97p,2
Pom Poko,4RkC3KmYWnr6PM1FM5Shwz,2
Thundercat,4frXpPxQQZwbCu3eTGnZEw,2
The Brian Setzer Orchestra,7HQH1SJokcVMdstilKJ2S8,1
Jacob Collier,0QWrMNukfcVOmgEU0FEDyD,3
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,1
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,3
Beyoncé,6vWDO969PvNqNYHIOW5v0m,1
OMI,5MouCg6ta7zAxsfMEbc1uh,1
"Gladys ""La bomba tucumana""",09jut908wvFm55SqnO4DN3,1
Memphis La Blusera,55j4xUfI5AATqETp8AnrRp,3
Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,1
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,1
Vittorio Monti,05ZN3Mgw6026ilsQzehDxC,1
Mick Gordon,13ab1LgQZ3tQOhkDRRYB8Y,2
Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,3
Sumo,10AzTrYMPVVmpKoBP5bX9W,3
Darren Korb,0ZMWrgLff357yxLyEU77a1,2
Estelle,5T0MSzX9RC5NA6gAI6irSn,1
Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,1
