id,name,songs
1H18UCYU5iXWGibbaFqBo6,jazz trumpet,13.0
4fdbCm5hzmOciashlfVdln,british contemporary classical,1.0
1pOkFqgeaJrP6QSVWSbXFL,detroit rock,2.0
2eG6qpp34Df6XDDl4TBQd6,edm,3.0
3keh7BqTyQBGMVciuUYCrX,jazz double bass,3.0
34VnohtEx2MLSn0NOpYlDk,easy listening,16.0
7E5qbf4OzSGdTiN9tvRcMt,big band,13.0
5gtNwZrMHMKRdwuMak9b8f,memphis soul,3.0
3cnZc09equd8oSXRpigeLI,retro soul,1.0
3vlOJS6Dt7o1fgxvLMxCSm,new romantic,12.0
4N1VZKh5FhJ2qCknxqksaM,argentine hip hop,25.0
0ZYVugh2XmydAo50DyV5Nj,ska argentino,20.0
17nPYc2gzmES6qnLL39oMH,thrash metal,5.0
42sv7XFxEHVv3eydYBxM3m,contemporary country,1.0
3UDkwLdFh8daEGwhS65vJq,r&b argentino,1.0
0PpNWMqc91qzFtGwoeQN5g,psychedelic rock,67.0
4iosguGpAH8ydNNOdoXcQ9,bubblegum pop,25.0
4biCMzbY6JRL57vC7FX4EY,rap,231.0
6v1sxGuzIYGDRq34noiam6,palm desert scene,1.0
0xfm6ggzKTP8xp6LdpyZZ5,heartland rock,7.0
2ZCbh9nyKnn2TdKhCMU0c6,glam rock,60.0
7ituYdtebW6hcu6YHg4Te9,rap metal,2.0
6u9pQ57c9ZdwD4xry83Dvm,madchester,1.0
2rM65fAk9SQO91bsRMJlaW,rock,258.0
6F7yX5mcL4hEYnZXsGjsR5,funk metal,1.0
1rc0V0fTbmi8EGf15wkJRg,stoner metal,1.0
0AcXhKutZFH6aVJba9vRM6,old school thrash,5.0
2PVrdyDuK0hV7Zkw2j7HOc,indie soul,9.0
1bFsAAlFXWx2WncyywFNdf,west coast rap,49.0
4dmgWRBOfYTtnPYxHfJsIf,minecraft,3.0
159ARDEvnEl5V1gVXQQPr4,classical era,17.0
33MjEcilxIVsgzvZ3MJLW5,russian modern classical,4.0
3SNqLnukHAnnYia9O9JI8O,background jazz,1.0
7trzNLWjG5TDSbvYmhaipS,swing revival,2.0
34WZFpjkCiimtVhyL6lhYL,ranchera,3.0
5txQm78KmbnDJDKSLet82w,j-rock,1.0
6MWKHd1iGw6LD85IgPNypz,spanish invasion,1.0
5AIxMflch7h0K53AThUFxg,modern blues rock,1.0
06rVWGDffndyKeOu5QJZIW,australian rock,8.0
1Vrzei9fTq6p8PL9i0bJxv,torch song,1.0
66o170DUxQdTQ3Ku2CoDAm,rhode island rap,2.0
56kcCkxByyKUtTYeNbjJxO,outlaw country,1.0
4ZMV1fNIgJofnD1upw50Xx,japanese alternative rock,1.0
2ealYyOAdlTjvgj7WOZHvt,cancion melodica,1.0
5sqdvMrRiPtMh4LviRRYji,chicano rap,2.0
7vNINykPtOMU7g8xyi0Wyc,otacore,5.0
26M41FzmxIEzX0r1tTe3iG,viral rap,4.0
