songName,artistName,songID,artistID,year,disc,popularity,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Waterloo,ABBA,0RzhMHIsFMbOGh0oWDvNNK,0LcJLqbBmaGUft1e9Mm8HV,70,Waterloo,0,"['europop', 'swedish pop']",0.441,0.926,2,-4.736,0.046,0.423,3.38e-06,0.235,0.779,147.564
Fernando,ABBA,4BM8yJ0PzBi2ZewpMTOxtx,0LcJLqbBmaGUft1e9Mm8HV,70,Arrival,67,"['europop', 'swedish pop']",0.354,0.535,9,-8.876,0.0303,0.627,2.9e-06,0.0808,0.434,110.821
La rue,Cortex,6lzDycd60SJ7H8y6wuESGl,7EhUXju6pssa8o3CvFJTew,70,Troupeau bleu,46,['jazz funk'],0.583,0.861,0,-9.453,0.0684,0.351,0.639,0.101,0.96,98.463
I Heard a Sigh,Cortex,4O4RFEWff8GeQwypae0ibM,7EhUXju6pssa8o3CvFJTew,00,Inedit 79,53,['jazz funk'],0.769,0.495,2,-10.83,0.0563,0.556,0.000475,0.0763,0.751,89.547
The Avengers,Alan Silvestri,5SXsXjVJCWeJuf7FHvgBYR,0Xk15jHKly4c3AhPr5vjoA,10,The Avengers (Original Motion Picture Soundtrack),62,"['classic soundtrack', 'orchestral soundtrack', 'soundtrack']",0.25,0.553,7,-8.188,0.0429,0.606,0.673,0.145,0.226,118.985
Portals,Alan Silvestri,0OVtnS3l4vThGxkdqCxN6K,0Xk15jHKly4c3AhPr5vjoA,10,Avengers: Endgame (Original Motion Picture Soundtrack),56,"['classic soundtrack', 'orchestral soundtrack', 'soundtrack']",0.171,0.505,7,-10.525,0.0521,0.431,0.962,0.262,0.0796,92.613
The Scare Floor,Randy Newman,6miK1DMb1WONHzH1jh5PLk,3HQyFCFFfJO3KKBlUfZsyW,00,"Monsters, Inc. (Original Motion Picture Soundtrack)",39,"['disney', 'hollywood', 'movie tunes', 'singer-songwriter']",0.552,0.365,2,-9.806,0.03,0.486,0.338,0.105,0.381,100.034
Sulley And Mike,Randy Newman,53eoKURfQkzGx6Y3YBgmN0,3HQyFCFFfJO3KKBlUfZsyW,00,"Monsters, Inc. (Original Motion Picture Soundtrack)",30,"['disney', 'hollywood', 'movie tunes', 'singer-songwriter']",0.438,0.348,2,-9.642,0.0379,0.735,0.0128,0.0646,0.234,91.52
Momma Don't Lie,Roman Freely,7ogf3mk1lkQNDu98qOUQs7,3mTgdEMfUcBwSEZIOFLh3v,20,Momma Don't Lie,13,[],0.383,0.944,7,-6.235,0.053,0.00133,0.841,0.798,0.699,175.09
The House of the Rising Sun,The Animals,3TETmhGNWOcquUTtcr6RIR,3ICflSq6ZgYAIrm2CTkfVP,10,The House of the Rising Sun: Best of The Animals,57,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']",0.316,0.484,9,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363
Star Baby - 2003 Remastered,The Guess Who,2NasImtBsH9UkMXCsDUabr,0cQuYRSzlItquYxsQKDvVc,70,Road Food,38,"['album rock', 'art rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'soft rock']",0.463,0.854,4,-11.614,0.0368,0.137,0.000177,0.749,0.975,144.782
Doctor My Eyes,Jackson Browne,3QcuZo6WLcFkqqLmDs0d95,5lkiCO9UQ8B23dZ1o0UV4m,70,Jackson Browne (Saturate Before Using),67,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.48,0.626,5,-8.406,0.0294,0.266,5.7e-05,0.0857,0.542,75.63
Why We Thugs,Ice Cube,5880eYQmXx3c3oD22IljIt,3Mcii5XWf6E0lrY3Uky4cA,00,"Laugh Now, Cry Later",67,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.683,0.59,1,-5.423,0.458,0.326,0.0,0.148,0.653,100.892
You Know How We Do It,Ice Cube,2Ih217RCGAmyQR68Nn7Cqo,3Mcii5XWf6E0lrY3Uky4cA,90,Lethal Injection,78,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.747,0.52,10,-10.523,0.0357,0.0977,0.0537,0.142,0.601,92.869
I Like You (A Happier Song) (with Doja Cat),Post Malone,0prbvDtiY8FrZKEj8LF4Rs,246dkjvS1zLTtiykXe5h60,20,Twelve Carat Toothache,66,"['dfw rap', 'melodic rap', 'rap']",0.736,0.681,5,-6.063,0.0745,0.106,0.0,0.12,0.481,100.924
Numb,Marshmello,10xV5l9nhLvFpR8mqzs0bL,64KEffDW9EtZ1y2vBYgq8T,20,Numb,85,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.912,0.774,0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966
Potatoes and Molasses (feat. Colin Dean),Over the Garden Wall,1ceZKX7uRaXIgrnwcUdX5m,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),49,[],0.629,0.378,0,-7.756,0.0483,0.899,1.05e-06,0.0909,0.969,144.835
N95,Kendrick Lamar,0fX4oNGBWO3dSGUZcVdVV2,2YZyLoL8N0Wb9xBt1NhZWg,20,Mr. Morale & The Big Steppers,82,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.79,0.67,1,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,10,24K Magic,83,"['dance pop', 'pop']",0.853,0.56,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,3l0CmX0FuQjFxr8SK7Vqag,10,Immunity,80,"['bedroom pop', 'indie pop', 'pop']",0.744,0.619,0,-9.805,0.039,0.598,0.00372,0.231,0.641,112.997
Into the Unknown (feat. Jack Jones),Over the Garden Wall,2v8U44KvrynuXjgMiIzzMM,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),58,[],0.448,0.335,1,-9.902,0.0487,0.961,0.0381,0.0945,0.228,125.243
Send Me a Peach (feat. Justin Rubenstein),Over the Garden Wall,6tCBlusqLgT7AKTHi5zFCD,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),54,[],0.499,0.165,7,-12.033,0.0411,0.948,2.61e-06,0.0989,0.438,89.707
Ms. Langtree's Lament (feat. Janet Klein),Over the Garden Wall,4Jpm5OnFG82siVmKTYBdUl,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),49,[],0.627,0.382,5,-9.314,0.047,0.646,0.0,0.173,0.514,71.402
Adelaide Parade (feat. Colin Dean & Elijah Wood),Over the Garden Wall,3w5gx8Y04CZFQd05aKCTnb,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),45,[],0.208,0.258,10,-9.716,0.0346,0.783,0.0193,0.127,0.323,86.128
Patient Is the Night (feat. Chris Isaak),Over the Garden Wall,6sm30jWexRsec1Eo83f6Bx,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),53,[],0.357,0.438,2,-9.259,0.0316,0.42,0.00146,0.196,0.23,96.696
Prelude,Over the Garden Wall,4rDDzbKwDldcYX66MB55DR,7iOCrUsQ1PyiiBhp7Qc4cp,10,Over the Garden Wall (Original Television Soundtrack),55,[],0.0816,0.27,5,-8.871,0.0352,0.798,0.686,0.119,0.0785,75.585
Jamming,Bob Marley & The Wailers,4aUCPal9bxTnQkEfdIY6sG,2QsynagSdAqZj3U9HgDzjD,00,Legend - The Best Of Bob Marley And The Wailers,60,"['reggae', 'roots reggae']",0.941,0.462,11,-11.029,0.282,0.129,9.82e-05,0.114,0.758,123.674
Rasputin - Single Version,Boney M.,5Tq2PQq4A4fJ2zt1u6EVVH,54R6Y0I7jGUCveDTtI21nb,90,Boney M.,51,['europop'],0.738,0.843,6,-8.035,0.0365,0.11,0.000353,0.51,0.972,126.509
California Dreamin' - Single Version,The Mamas & The Papas,4s6LhHAV5SEsOV0lC2tjvJ,1bs7HoMkSyQwcobCpE9KpN,60,If You Can Believe Your Eyes & Ears,78,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",0.552,0.608,1,-9.786,0.0345,0.352,0.0,0.0533,0.637,112.367
Pass The Dutchie,Musical Youth,1BkY0N8ChFk2mdLbAUu8ZK,2CuzDPkRD6BJBvdWqCrt2I,90,Anthology,74,['uk reggae'],0.805,0.418,7,-14.374,0.0979,0.459,0.0,0.288,0.966,149.724
Three Little Birds,Bob Marley & The Wailers,6A9mKXlFRPMPem6ygQSt7z,2QsynagSdAqZj3U9HgDzjD,70,Exodus (Deluxe Edition),25,"['reggae', 'roots reggae']",0.814,0.482,9,-10.493,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404
"Sing, Sing, Sing (""With a Swing"") (1937) - Instrumental",Louis Prima,4INeksdaDvXcDJfXZfgMqX,52lBOxCxbJg0ttXEW9CQpW,90,Swing,31,"['adult standards', 'jump blues', 'lounge', 'swing', 'vocal jazz']",0.43,0.624,4,-9.436,0.121,0.228,0.612,0.0812,0.246,114.267
Sissy Strut,King Herbert & The Knights,4vbonMgP0N5BIMerJwAZ85,2PhDhZqcMd3Io1dVMARQFx,00,Canada's Message To The Meters,35,[],0.482,0.584,0,-14.073,0.0571,0.295,0.839,0.231,0.841,96.351
Rubber Band Man,The Right On Band,5x9OXWVNd1a0iveauFDRtn,4Xa2KSrbcyFcS2KZTJE5EV,00,The Gold Album,33,[],0.588,0.752,10,-6.143,0.0674,0.368,0.0,0.249,0.862,188.05
Intermission,Blur,7c3NImFA23mDCifvAzSu0T,7MhMgCo0Bl0Kukl93PZbYS,90,Intermission,43,"['alternative rock', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'pop rock', 'rock']",0.353,0.87,10,-7.147,0.0643,0.197,0.327,0.123,0.453,92.113
Sabre Dance,The Jokers,3TebMRIOM7BzYRWIQhDEcp,4MGKpqZobaP1gwS2l8VZQd,60,Beat Guitars,30,['surf music'],0.467,0.824,7,-10.218,0.0325,0.00302,0.636,0.138,0.487,95.217
Spain,Chick Corea,5RrJCusmR1J54b5ivqdWIu,5olDKSsFhhmwh8UCWwKtpq,70,Light As A Feather,46,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",0.404,0.446,11,-16.982,0.0352,0.857,0.885,0.0845,0.474,136.242
Crash Bandicoot Main Theme,Vicarious Visions Audio,6LtiYg9rZXcqeonqFnGrQx,57McP1QXbAqhD2M1oQICzB,10,Music from Crash Bandicoot N. Sane Trilogy (Original Game Soundtrack),43,[],0.741,0.906,5,-13.054,0.0608,0.32,0.824,0.117,0.596,152.537
"Solomon, HWV 67: Arrival of the Queen of Sheba",George Frideric Handel,4AriejT47mIdxXgDyPFlWO,1QL7yTHrdahRMpvNtn6rI2,90,Handel : The Best of Handel,50,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",0.522,0.178,10,-18.764,0.0492,0.947,0.921,0.366,0.743,106.959
Spring,Spa Sensations,2h9xm3tpOjJxMxYU3tSBQd,4C3Q76M7paRGIIrkMpuizB,10,Lullaby for Mommy: Relaxing Music for Peaceful Sleep,31,['spa'],0.611,0.131,4,-18.225,0.0412,0.942,0.00801,0.0884,0.55,94.568
"Il barbiere di Siviglia (The Barber of Seville), Act I: Cavatina: Largo al factotum della citta",Gioachino Rossini,5p4BRlcUzvRpApjjEFAtUq,0roWUeP7Ac4yK4VN6L2gF4,10,"Mattei, Peter: Great Baritone Arias",45,"['classical', 'italian opera', 'italian romanticism']",0.484,0.266,0,-17.623,0.113,0.982,0.013,0.222,0.4,98.607
The Inside Waltz,Bo Burnham,3HG8O5QmjPOI1Aia15waSV,2Waw2sSbqvAwK8NwACNjVo,20,INSIDE (DELUXE),41,['comic'],0.727,0.175,9,-14.197,0.18,0.988,0.19,0.103,0.337,100.055
"Words, Words, Words (Studio)",Bo Burnham,78f8ElRt7nnCP7B0ZOBJxr,2Waw2sSbqvAwK8NwACNjVo,10,Words Words Words,53,['comic'],0.839,0.753,11,-4.716,0.167,0.18,1.06e-06,0.156,0.755,121.992
All Eyes On Me (Song Only),Bo Burnham,47emsK4Cj4dMqctYq18U03,2Waw2sSbqvAwK8NwACNjVo,20,All Eyes On Me (Song Only),59,['comic'],0.247,0.442,6,-8.703,0.041,0.716,0.0,0.0655,0.261,62.952
Bezos IV,Bo Burnham,0cYTlakWlrGESCxD0Uo8U8,2Waw2sSbqvAwK8NwACNjVo,20,INSIDE (DELUXE),40,['comic'],0.379,0.347,6,-7.597,0.0893,0.74,0.0,0.243,0.605,205.005
Five Years,Bo Burnham,7vDHm1OROTm0Ki8q3zkEwi,2Waw2sSbqvAwK8NwACNjVo,20,INSIDE (DELUXE),53,['comic'],0.833,0.502,11,-10.42,0.372,0.733,3.18e-06,0.16,0.536,93.0
